,Influencer_Xhandle,Influencer Affiliation,Political_Follower_Name,Political_Followers_XHandle,Follower Affiliation
3,@PatTheSocialist,Republican Party,Ian Schlakman,@iSchlakman,Green Party
4,@PatTheSocialist,Republican Party,"James G. ""Jesse Ventura"" Janos",@GovJVentura,Independent
5,@PatTheSocialist,Republican Party,Brian Matlock,@KansasBrian,Republican Party
22,@SabbySabs2,Democratic Party,Ian Schlakman,@iSchlakman,Green Party
23,@SabbySabs2,Democratic Party,"James G. ""Jesse Ventura"" Janos",@GovJVentura,Independent
24,@SabbySabs2,Democratic Party,David B. Collins,@dbcgreentx,Green Party
25,@SarcasmStardust,Republican Party,Ian Schlakman,@iSchlakman,Green Party
26,@SarcasmStardust,Republican Party,Keenan Dunham,@Kdunham4peace,Libertarian Party
27,@SarcasmStardust,Republican Party,David B. Collins,@dbcgreentx,Green Party
28,@SarcasmStardust,Republican Party,Brian Matlock,@KansasBrian,Republican Party
54,@Josh_Moon,Democratic Party,Rick Neighbors,@VoteNeighbors,Democratic Party
55,@Josh_Moon,Democratic Party,Chris Pringle,@PringleforAL01,Republican Party
56,@Josh_Moon,Democratic Party,Phyllis Harvey-Hall,@PhyllisDHHall,Democratic Party
57,@Josh_Moon,Democratic Party,Kiani Gardner,@KianiGardner,Democratic Party
58,@Josh_Moon,Democratic Party,Kaynen Pellegrino,@RCVAlabama,Independent
117,@TristanSnell,Democratic Party,Rick Neighbors,@VoteNeighbors,Democratic Party
118,@TristanSnell,Democratic Party,Frederic Schultz,@FredericEsq,Democratic Party
119,@TristanSnell,Democratic Party,Jim Vandermaas,@votevandermaas,Democratic Party
120,@funder,Democratic Party,Rick Neighbors,@VoteNeighbors,Democratic Party
121,@funder,Democratic Party,Michael Puskar,@mbpuskar,Republican Party
122,@funder,Democratic Party,Amy McGrath,@AmyMcGrathKY,Democratic Party
123,@funder,Democratic Party,Joe Walsh,@WalshFreedom,Independent
124,@funder,Democratic Party,Jaime Harrison,@harrisonjaime,Democratic Party
146,@BernardKerik,Republican Party,Hirsh Singh,@HirshSingh,Republican Party
147,@BernardKerik,Republican Party,Doug Collins,@CollinsforGA,Republican Party
148,@BernardKerik,Republican Party,Mo Brooks (i),@RepMoBrooks,Republican Party
282,@spann,Republican Party,Gary Palmer (i),@USRepGaryPalmer,Republican Party
283,@spann,Republican Party,Arnold Mooney,@ArnoldforAL,Republican Party
284,@spann,Republican Party,Kaynen Pellegrino,@RCVAlabama,Independent
313,@jeff_poor,Republican Party,Arnold Mooney,@ArnoldforAL,Republican Party
314,@jeff_poor,Republican Party,Chris Pringle,@PringleforAL01,Republican Party
315,@jeff_poor,Republican Party,Bradley Byrne,@BradleyByrne,Republican Party
316,@toddcstacy,Republican Party,Arnold Mooney,@ArnoldforAL,Republican Party
317,@toddcstacy,Republican Party,Chris Pringle,@PringleforAL01,Republican Party
318,@toddcstacy,Republican Party,Bradley Byrne,@BradleyByrne,Republican Party
319,@toddcstacy,Republican Party,Jeff Coleman,@JefffColeman,Republican Party
335,@EricTrump,Republican Party,Sheila Tittle,@SammTittle,Unaffiliated
336,@EricTrump,Republican Party,"Sheila ""Samm"" Tittle",@SammTittle,Unaffiliated
337,@EricTrump,Republican Party,Claire Elisabeth Elliott,@1stGirlPres,Independent
338,@EricTrump,Republican Party,Eric James Borrell,@BorrellEric,Independent
339,@EricTrump,Republican Party,Donald Trump,@realDonaldTrump,Republican Party
340,@EricTrump,Republican Party,Donald J. Trump,@realDonaldTrump,Republican Party
341,@EricTrump,Republican Party,David Schuster,@SCHUSTERCAMPAI1,Republican Party
347,@LaraLeaTrump,Republican Party,Sheila Tittle,@SammTittle,Unaffiliated
348,@LaraLeaTrump,Republican Party,"Sheila ""Samm"" Tittle",@SammTittle,Unaffiliated
349,@LaraLeaTrump,Republican Party,Claire Elisabeth Elliott,@1stGirlPres,Independent
350,@LaraLeaTrump,Republican Party,Eric James Borrell,@BorrellEric,Independent
351,@LaraLeaTrump,Republican Party,Donald Trump,@realDonaldTrump,Republican Party
352,@LaraLeaTrump,Republican Party,Donald J. Trump,@realDonaldTrump,Republican Party
353,@LaraLeaTrump,Republican Party,David Schuster,@SCHUSTERCAMPAI1,Republican Party
375,@DavidAFrench,Republican Party,Tom Hoefling,@TomHoefling,Unaffiliated
376,@DavidAFrench,Republican Party,"George S., Jr. Flinn",@GeorgeFlinn,Republican Party
377,@DavidAFrench,Republican Party,Mark Sanford,@MarkSanford,Republican Party
378,@NancyAFrench,Republican Party,Tom Hoefling,@TomHoefling,Unaffiliated
